date,facility,component_type,component_id,energy_consumption,efficiency_score,utilization,temperature
2025-01-01,Data Center B,Router,R7,68.65,79.8,12.6,21.3
2025-01-01,Data Center B,Router,R8,89.11,74.4,62.9,26.0
2025-01-01,Data Center B,Switch,S1,67.47,91.2,71.7,24.0
2025-01-01,Data Center B,Switch,S2,52.96,78.7,47.3,26.6
2025-01-01,Data Center B,Switch,S3,43.92,90.3,23.3,25.0
2025-01-01,Data Center B,Switch,S4,37.66,75.7,91.2,26.8
2025-01-01,Data Center B,Switch,S5,52.48,90.3,45.7,21.8
2025-01-01,Data Center B,Switch,S6,40.13,84.2,50.3,26.3
2025-01-01,Data Center B,Switch,S7,49.53,77.3,24.7,18.0
2025-01-01,Data Center B,Switch,S8,39.98,79.8,41.8,24.4
2025-01-01,Data Center B,Switch,S9,50.11,93.7,66.0,23.4
2025-01-01,Data Center B,Switch,S10,50.12,82.6,43.0,26.0
2025-01-01,Data Center B,Server,SRV1,120.23,85.6,90.0,25.3
2025-01-01,Data Center B,Server,SRV2,130.3,76.4,16.1,22.1
2025-01-01,Data Center B,Server,SRV3,150.04,72.7,79.2,22.1
2025-01-01,Data Center B,Server,SRV4,125.39,79.5,72.5,24.9
2025-01-01,Data Center B,Server,SRV5,119.94,79.4,73.8,18.6
2025-01-01,Data Center B,Server,SRV6,108.2,77.7,83.0,23.4
2025-01-01,Data Center B,Server,SRV7,163.31,72.8,18.8,24.0
2025-01-01,Data Center B,Server,SRV8,150.95,78.4,43.1,23.1
2025-01-01,Data Center B,Server,SRV9,127.07,71.9,90.8,29.7
2025-01-01,Data Center B,Server,SRV10,153.62,70.0,67.2,20.4
2025-01-01,Data Center B,Server,SRV11,147.77,78.3,17.8,21.9
2025-01-01,Data Center B,Server,SRV12,132.28,79.9,39.8,23.6
2025-01-01,Data Center B,Server,SRV13,144.65,81.8,17.1,22.7
2025-01-01,Data Center B,Server,SRV14,136.5,72.6,17.2,24.7
2025-01-01,Data Center B,Server,SRV15,155.39,72.6,93.8,22.0
2025-01-01,Data Center B,Server,SRV16,159.48,76.6,46.1,28.4
2025-01-01,Data Center B,Storage,ST1,73.76,80.0,14.8,27.8
2025-01-01,Data Center B,Storage,ST2,86.2,79.5,34.3,25.2
2025-01-01,Data Center B,Storage,ST3,73.29,82.3,11.0,24.2
2025-01-01,Data Center B,Storage,ST4,88.66,80.5,92.4,21.7
2025-01-01,Data Center B,Storage,ST5,103.64,82.0,48.6,27.6
2025-01-01,Data Center B,Storage,ST6,98.31,90.9,33.6,21.6
2025-01-01,Data Center B,Cooling,C1,193.98,58.2,59.6,18.3
2025-01-01,Data Center B,Cooling,C2,209.48,60.5,87.4,25.5
2025-01-01,Data Center B,Cooling,C3,220.79,72.4,89.3,23.8
2025-01-01,Data Center B,Cooling,C4,190.27,56.4,92.4,28.1
2025-01-01,Edge Location C,Router,R1,71.06,79.4,45.3,23.7
2025-01-01,Edge Location C,Router,R2,67.67,78.0,75.4,24.1
2025-01-01,Edge Location C,Router,R3,65.03,70.0,91.1,19.9
2025-01-01,Edge Location C,Router,R4,73.71,70.3,19.7,27.8
2025-01-01,Edge Location C,Router,R5,70.71,88.2,54.2,24.5
2025-01-01,Edge Location C,Router,R6,80.04,76.8,21.4,26.9
2025-01-01,Edge Location C,Router,R7,83.47,82.4,21.6,18.8
2025-01-01,Edge Location C,Router,R8,83.02,76.7,53.7,26.2
2025-01-01,Edge Location C,Switch,S1,33.49,88.7,83.3,24.0
2025-01-01,Edge Location C,Switch,S2,40.44,83.9,51.9,23.9
2025-01-01,Edge Location C,Switch,S3,42.21,74.8,16.4,20.7
2025-01-01,Edge Location C,Switch,S4,38.77,81.7,66.7,26.9
2025-01-01,Edge Location C,Switch,S5,33.7,79.6,24.4,21.6
2025-01-01,Edge Location C,Switch,S6,33.09,81.5,27.5,20.9
2025-01-01,Edge Location C,Switch,S7,36.44,70.6,13.3,25.5
2025-01-01,Edge Location C,Switch,S8,42.65,81.4,78.5,23.3
2025-01-01,Edge Location C,Switch,S9,32.13,84.9,41.5,31.1
2025-01-01,Edge Location C,Switch,S10,34.44,90.2,13.1,23.3
2025-01-01,Edge Location C,Server,SRV1,108.63,70.1,53.5,21.1
2025-01-01,Edge Location C,Server,SRV2,97.48,67.0,32.9,24.6
2025-01-01,Edge Location C,Server,SRV3,93.63,74.8,28.0,21.7
2025-01-01,Edge Location C,Server,SRV4,91.26,83.4,77.1,26.6
2025-01-01,Edge Location C,Server,SRV5,83.7,75.0,59.9,22.7
2025-01-01,Edge Location C,Server,SRV6,119.19,70.6,64.9,19.9
2025-01-01,Edge Location C,Server,SRV7,68.68,79.7,61.5,22.9
2025-01-01,Edge Location C,Server,SRV8,92.88,71.7,25.9,22.5
2025-01-01,Edge Location C,Server,SRV9,84.36,72.3,16.8,16.5
2025-01-01,Edge Location C,Server,SRV10,106.22,73.8,92.4,21.3
2025-01-01,Edge Location C,Server,SRV11,99.76,76.4,24.5,25.6
2025-01-01,Edge Location C,Server,SRV12,99.33,66.7,75.4,25.6
2025-01-01,Edge Location C,Server,SRV13,88.17,70.0,53.1,22.6
2025-01-01,Edge Location C,Server,SRV14,91.9,78.2,23.1,19.0
2025-01-01,Edge Location C,Server,SRV15,136.55,66.9,38.6,22.2
2025-01-01,Edge Location C,Server,SRV16,107.32,77.6,50.1,28.3
2025-01-01,Edge Location C,Storage,ST1,41.27,74.8,80.6,24.5
2025-01-01,Edge Location C,Storage,ST2,56.95,80.4,58.8,23.5
2025-01-01,Edge Location C,Storage,ST3,55.18,80.6,27.1,23.0
2025-01-01,Edge Location C,Storage,ST4,53.5,81.4,40.5,30.2
2025-01-01,Edge Location C,Storage,ST5,53.92,84.7,47.3,22.0
2025-01-01,Edge Location C,Storage,ST6,37.39,80.1,29.7,29.0
2025-01-01,Edge Location C,Cooling,C1,139.31,69.1,87.1,21.3
2025-01-01,Edge Location C,Cooling,C2,150.72,57.6,21.8,27.4
2025-01-01,Edge Location C,Cooling,C3,155.54,71.2,86.0,22.5
2025-01-01,Edge Location C,Cooling,C4,153.25,69.2,12.9,21.4
2025-01-01,Edge Location D,Router,R1,73.23,80.0,39.1,27.9
2025-01-01,Edge Location D,Router,R2,55.72,81.8,71.2,21.2
2025-01-01,Edge Location D,Router,R3,72.12,83.0,31.4,20.8
2025-01-01,Edge Location D,Router,R4,55.11,69.1,49.3,28.5
2025-01-01,Edge Location D,Router,R5,61.32,91.2,11.5,29.3
2025-01-01,Edge Location D,Router,R6,64.99,74.0,59.0,25.4
2025-01-01,Edge Location D,Router,R7,47.69,87.4,89.4,23.7
2025-01-01,Edge Location D,Router,R8,66.7,78.3,60.3,27.3
2025-01-01,Edge Location D,Switch,S1,28.82,81.3,78.2,26.6
2025-01-01,Edge Location D,Switch,S2,20.61,75.6,72.7,20.1
2025-01-01,Edge Location D,Switch,S3,24.48,80.7,22.0,24.0
2025-01-01,Edge Location D,Switch,S4,25.35,80.8,59.4,26.1
2025-01-01,Edge Location D,Switch,S5,26.79,84.6,22.6,21.6
2025-01-01,Edge Location D,Switch,S6,30.83,94.9,15.7,24.2
2025-01-01,Edge Location D,Switch,S7,27.9,85.4,27.4,31.7
2025-01-01,Edge Location D,Switch,S8,26.36,80.7,54.6,28.5
2025-01-01,Edge Location D,Switch,S9,21.75,75.8,23.2,24.9
2025-01-01,Edge Location D,Switch,S10,30.4,75.0,64.7,21.7
2025-01-01,Edge Location D,Server,SRV1,79.71,74.7,70.9,23.7
2025-01-01,Edge Location D,Server,SRV2,84.67,78.6,11.7,20.6
2025-01-01,Edge Location D,Server,SRV3,85.54,74.3,65.5,22.9
2025-01-01,Edge Location D,Server,SRV4,81.39,78.6,80.6,25.3
2025-01-01,Edge Location D,Server,SRV5,105.11,70.0,34.9,19.0
2025-01-01,Edge Location D,Server,SRV6,106.6,72.4,32.1,27.1
2025-01-01,Edge Location D,Server,SRV7,100.92,66.2,63.1,27.7
2025-01-01,Edge Location D,Server,SRV8,56.85,76.1,74.9,23.7
2025-01-01,Edge Location D,Server,SRV9,96.58,74.8,46.1,30.5
2025-01-01,Edge Location D,Server,SRV10,92.79,75.9,93.7,23.4
2025-01-01,Edge Location D,Server,SRV11,68.0,75.5,11.6,19.1
2025-01-01,Edge Location D,Server,SRV12,91.27,80.1,27.5,25.4
2025-01-01,Edge Location D,Server,SRV13,104.78,82.9,24.9,23.5
2025-01-01,Edge Location D,Server,SRV14,94.49,71.9,24.1,24.1
2025-01-01,Edge Location D,Server,SRV15,79.89,76.0,30.9,19.4
2025-01-01,Edge Location D,Server,SRV16,74.19,70.1,58.1,27.2
2025-01-01,Edge Location D,Storage,ST1,64.52,78.5,72.3,25.8
2025-01-01,Edge Location D,Storage,ST2,37.96,92.8,38.4,23.7
2025-01-01,Edge Location D,Storage,ST3,46.57,81.2,71.9,29.9
2025-01-01,Edge Location D,Storage,ST4,48.82,83.5,78.0,22.3
2025-01-01,Edge Location D,Storage,ST5,41.15,84.6,40.7,20.0
2025-01-01,Edge Location D,Storage,ST6,47.5,81.9,78.6,25.8
2025-01-01,Edge Location D,Cooling,C1,150.83,70.3,31.2,19.4
2025-01-01,Edge Location D,Cooling,C2,125.34,67.1,25.3,24.6
2025-01-01,Edge Location D,Cooling,C3,141.96,65.7,69.3,25.3
2025-01-01,Edge Location D,Cooling,C4,122.39,64.8,83.3,26.0
2025-01-02,Data Center A,Router,R1,95.53,82.4,13.1,19.8
2025-01-02,Data Center A,Router,R2,110.42,79.1,38.9,22.6
2025-01-02,Data Center A,Router,R3,98.68,78.7,55.9,22.0
2025-01-02,Data Center A,Router,R4,118.78,79.3,29.8,26.7
2025-01-02,Data Center A,Router,R5,113.69,78.2,94.8,27.7
2025-01-02,Data Center A,Router,R6,92.17,89.5,84.3,22.9
2025-01-02,Data Center A,Router,R7,76.79,69.2,30.3,23.1
2025-01-02,Data Center A,Router,R8,90.3,73.0,13.6,21.7
2025-01-02,Data Center A,Switch,S1,38.6,76.0,28.6,23.5
2025-01-02,Data Center A,Switch,S2,47.64,81.8,62.1,26.0
2025-01-02,Data Center A,Switch,S3,63.89,90.1,29.6,22.4
2025-01-02,Data Center A,Switch,S4,49.49,78.8,14.9,27.6
2025-01-02,Data Center A,Switch,S5,51.33,76.1,69.2,25.0
2025-01-02,Data Center A,Switch,S6,51.3,83.0,60.4,19.5
2025-01-02,Data Center A,Switch,S7,47.52,82.8,32.6,25.6
2025-01-02,Data Center A,Switch,S8,63.21,81.1,41.7,21.6
2025-01-02,Data Center A,Switch,S9,61.58,77.2,16.9,26.1
2025-01-02,Data Center A,Switch,S10,45.72,81.9,50.8,27.6
2025-01-02,Data Center A,Server,SRV1,171.21,76.7,67.6,19.1
2025-01-02,Data Center A,Server,SRV2,155.05,78.0,82.3,27.3
2025-01-02,Data Center A,Server,SRV3,153.81,78.6,69.3,27.0
2025-01-02,Data Center A,Server,SRV4,178.3,74.2,38.5,24.4
2025-01-02,Data Center A,Server,SRV5,129.99,77.5,80.7,23.3
2025-01-02,Data Center A,Server,SRV6,145.07,76.0,63.7,24.1
2025-01-02,Data Center A,Server,SRV7,161.37,68.2,76.3,24.8
2025-01-02,Data Center A,Server,SRV8,136.26,74.5,63.8,24.8
2025-01-02,Data Center A,Server,SRV9,148.81,77.0,35.6,22.9
2025-01-02,Data Center A,Server,SRV10,148.79,81.0,13.9,19.4
2025-01-02,Data Center A,Server,SRV11,152.98,72.4,11.9,23.6
2025-01-02,Data Center A,Server,SRV12,100.73,72.2,33.3,29.6
2025-01-02,Data Center A,Server,SRV13,118.24,74.1,69.0,27.4
2025-01-02,Data Center A,Server,SRV14,173.49,78.3,45.7,23.7
2025-01-02,Data Center A,Server,SRV15,118.3,83.3,93.6,26.7
2025-01-02,Data Center A,Server,SRV16,140.5,68.7,83.5,28.3
2025-01-02,Data Center A,Storage,ST1,90.99,79.9,83.8,26.1
2025-01-02,Data Center A,Storage,ST2,93.74,83.2,21.2,28.0
2025-01-02,Data Center A,Storage,ST3,100.43,82.5,20.0,25.1
2025-01-02,Data Center A,Storage,ST4,74.97,79.8,15.5,19.7
2025-01-02,Data Center A,Storage,ST5,64.39,82.8,36.4,23.2
2025-01-02,Data Center A,Storage,ST6,84.26,77.7,61.0,16.7
2025-01-02,Data Center A,Cooling,C1,250.88,59.5,76.3,23.9
2025-01-02,Data Center A,Cooling,C2,198.86,65.0,62.5,20.5
2025-01-02,Data Center A,Cooling,C3,428.51,73.9,54.0,23.3
2025-01-02,Data Center A,Cooling,C4,195.24,64.1,21.3,21.8
2025-01-02,Data Center B,Router,R1,119.53,81.2,27.0,28.2
2025-01-02,Data Center B,Router,R2,107.2,87.1,84.0,25.1
2025-01-02,Data Center B,Router,R3,106.79,81.2,79.3,28.0
2025-01-02,Data Center B,Router,R4,96.93,80.0,72.2,30.5
2025-01-02,Data Center B,Router,R5,84.94,75.6,28.6,25.6
2025-01-02,Data Center B,Router,R6,86.04,92.8,71.1,23.7
2025-01-02,Data Center B,Router,R7,94.68,78.6,67.8,23.2
2025-01-02,Data Center B,Router,R8,70.58,82.7,46.2,26.6
2025-01-02,Data Center B,Switch,S1,40.68,74.7,13.4,24.7
2025-01-02,Data Center B,Switch,S2,57.67,81.5,84.2,29.3
2025-01-02,Data Center B,Switch,S3,48.55,86.4,60.3,28.4
2025-01-02,Data Center B,Switch,S4,60.16,84.0,87.3,21.9
2025-01-02,Data Center B,Switch,S5,45.73,78.6,25.4,23.9
2025-01-02,Data Center B,Switch,S6,58.61,81.2,53.8,27.2
2025-01-02,Data Center B,Switch,S7,58.43,73.3,43.2,20.1
2025-01-02,Data Center B,Switch,S8,58.52,74.2,16.2,23.2
2025-01-02,Data Center B,Switch,S9,50.42,75.6,80.5,19.3
2025-01-02,Data Center B,Switch,S10,46.64,77.8,24.2,25.6
2025-01-02,Data Center B,Server,SRV1,126.5,85.4,78.5,27.1
2025-01-02,Data Center B,Server,SRV2,137.67,73.4,14.9,22.3
2025-01-02,Data Center B,Server,SRV3,147.41,75.3,20.4,26.2
2025-01-02,Data Center B,Server,SRV4,131.3,72.1,22.6,24.0
2025-01-02,Data Center B,Server,SRV5,151.18,76.7,53.8,30.3
2025-01-02,Data Center B,Server,SRV6,130.13,70.3,67.2,25.9
2025-01-02,Data Center B,Server,SRV7,120.47,84.6,25.1,26.6
2025-01-02,Data Center B,Server,SRV8,142.79,74.8,62.5,30.0
2025-01-02,Data Center B,Server,SRV9,136.92,80.3,89.1,27.3
2025-01-02,Data Center B,Server,SRV10,156.57,69.6,65.4,28.9
2025-01-02,Data Center B,Server,SRV11,138.94,71.2,14.1,23.8
2025-01-02,Data Center B,Server,SRV12,139.46,76.7,72.8,28.3
2025-01-02,Data Center B,Server,SRV13,128.04,79.8,66.7,25.8
2025-01-02,Data Center B,Server,SRV14,146.89,81.4,20.2,23.2
2025-01-02,Data Center B,Server,SRV15,129.46,75.1,41.1,28.8
2025-01-02,Data Center B,Server,SRV16,116.02,67.2,41.7,23.1
2025-01-02,Data Center B,Storage,ST1,96.63,85.0,49.4,26.9
2025-01-02,Data Center B,Storage,ST2,73.75,77.7,39.0,23.9
2025-01-02,Data Center B,Storage,ST3,61.37,71.8,55.4,28.2
2025-01-02,Data Center B,Storage,ST4,84.09,78.7,88.8,25.2
2025-01-02,Data Center B,Storage,ST5,68.76,78.6,31.8,21.0
2025-01-02,Data Center B,Storage,ST6,64.7,70.4,61.9,25.2
2025-01-02,Data Center B,Cooling,C1,169.77,69.7,20.4,25.7
2025-01-02,Data Center B,Cooling,C2,170.41,74.2,19.1,24.7
2025-01-02,Data Center B,Cooling,C3,151.73,67.2,51.1,24.7
2025-01-02,Data Center B,Cooling,C4,240.16,67.4,61.1,24.4
2025-01-02,Edge Location C,Router,R1,68.97,78.2,28.0,19.8
2025-01-02,Edge Location C,Router,R2,86.44,76.6,30.1,26.3
2025-01-02,Edge Location C,Router,R3,61.09,82.5,46.0,22.0
2025-01-02,Edge Location C,Router,R4,71.33,89.1,24.3,20.3
2025-01-02,Edge Location C,Router,R5,74.98,80.1,18.1,24.1
2025-01-02,Edge Location C,Router,R6,66.96,70.3,43.2,24.8
2025-01-02,Edge Location C,Router,R7,67.56,90.9,21.6,21.6
2025-01-02,Edge Location C,Router,R8,85.3,82.9,94.3,27.3
2025-01-02,Edge Location C,Switch,S1,39.34,90.1,16.8,22.3
2025-01-02,Edge Location C,Switch,S2,30.73,79.1,54.1,23.4
2025-01-02,Edge Location C,Switch,S3,37.52,74.2,65.3,18.0
2025-01-02,Edge Location C,Switch,S4,38.28,85.5,72.1,29.8
2025-01-02,Edge Location C,Switch,S5,32.41,81.7,91.4,25.6
2025-01-02,Edge Location C,Switch,S6,31.24,77.4,48.3,24.2
2025-01-02,Edge Location C,Switch,S7,32.25,88.2,77.6,20.7
2025-01-02,Edge Location C,Switch,S8,34.53,82.4,81.6,26.3
2025-01-02,Edge Location C,Switch,S9,48.86,84.0,74.2,24.4
2025-01-02,Edge Location C,Switch,S10,35.42,76.6,40.6,21.3
2025-01-02,Edge Location C,Server,SRV1,70.04,77.5,48.0,25.2
2025-01-02,Edge Location C,Server,SRV2,132.81,76.3,82.4,24.0
2025-01-02,Edge Location C,Server,SRV3,97.85,74.5,84.6,24.8
2025-01-02,Edge Location C,Server,SRV4,101.33,72.5,44.3,23.3
2025-01-02,Edge Location C,Server,SRV5,104.44,70.5,92.9,27.3
2025-01-02,Edge Location C,Server,SRV6,103.54,87.3,75.0,23.1
2025-01-02,Edge Location C,Server,SRV7,96.81,68.4,22.4,22.2
2025-01-02,Edge Location C,Server,SRV8,93.95,77.5,46.8,24.2
2025-01-02,Edge Location C,Server,SRV9,97.6,65.1,19.0,20.4
2025-01-02,Edge Location C,Server,SRV10,105.36,70.2,15.2,25.3
2025-01-02,Edge Location C,Server,SRV11,93.57,82.5,94.6,24.4
2025-01-02,Edge Location C,Server,SRV12,91.77,72.2,20.3,22.8
2025-01-02,Edge Location C,Server,SRV13,87.77,73.5,15.3,24.5
2025-01-02,Edge Location C,Server,SRV14,96.71,67.3,63.0,26.7
2025-01-02,Edge Location C,Server,SRV15,59.63,79.7,85.4,19.9
2025-01-02,Edge Location C,Server,SRV16,93.4,81.0,72.4,23.1
2025-01-02,Edge Location C,Storage,ST1,90.65,67.0,74.6,24.3
2025-01-02,Edge Location C,Storage,ST2,46.92,79.9,19.3,25.7
2025-01-02,Edge Location C,Storage,ST3,39.81,90.3,18.3,20.4
2025-01-02,Edge Location C,Storage,ST4,56.05,79.1,42.0,29.1
2025-01-02,Edge Location C,Storage,ST5,48.99,68.6,85.8,27.4
2025-01-02,Edge Location C,Storage,ST6,46.91,83.4,13.3,22.5
2025-01-02,Edge Location C,Cooling,C1,143.07,69.6,66.0,24.8
2025-01-02,Edge Location C,Cooling,C2,162.38,65.2,22.8,21.7
2025-01-02,Edge Location C,Cooling,C3,146.92,73.6,13.5,24.7
2025-01-02,Edge Location C,Cooling,C4,135.1,58.3,39.7,21.1
2025-01-02,Edge Location D,Router,R1,66.02,83.8,24.8,24.8
2025-01-02,Edge Location D,Router,R2,53.55,83.0,63.1,21.7
2025-01-02,Edge Location D,Router,R3,48.65,75.5,62.3,25.9
2025-01-02,Edge Location D,Router,R4,70.91,74.8,93.3,26.8
2025-01-02,Edge Location D,Router,R5,72.99,87.0,79.0,21.4
2025-01-02,Edge Location D,Router,R6,63.14,72.8,47.3,18.1
2025-01-02,Edge Location D,Router,R7,65.12,78.7,20.3,24.6
2025-01-02,Edge Location D,Router,R8,58.43,82.3,83.2,22.3
2025-01-02,Edge Location D,Switch,S1,35.7,77.9,81.6,26.7
2025-01-02,Edge Location D,Switch,S2,35.21,82.9,93.7,20.1
2025-01-02,Edge Location D,Switch,S3,31.27,81.6,79.5,24.1
2025-01-02,Edge Location D,Switch,S4,24.62,83.5,60.2,29.1
2025-01-02,Edge Location D,Switch,S5,22.68,82.4,68.6,25.0
2025-01-02,Edge Location D,Switch,S6,36.0,81.3,10.8,20.3
2025-01-02,Edge Location D,Switch,S7,35.66,77.4,18.4,27.9
2025-01-02,Edge Location D,Switch,S8,29.71,90.3,62.4,25.2
2025-01-02,Edge Location D,Switch,S9,29.27,76.4,57.1,19.7
2025-01-02,Edge Location D,Switch,S10,26.45,85.6,94.7,22.9
2025-01-02,Edge Location D,Server,SRV1,74.21,64.5,85.3,18.9
2025-01-02,Edge Location D,Server,SRV2,103.07,67.4,77.5,27.8
2025-01-02,Edge Location D,Server,SRV3,86.88,70.8,64.6,24.4
2025-01-02,Edge Location D,Server,SRV4,75.85,85.3,67.5,27.6
2025-01-02,Edge Location D,Server,SRV5,76.65,79.1,52.4,27.3
2025-01-02,Edge Location D,Server,SRV6,76.34,75.4,47.4,28.4
2025-01-02,Edge Location D,Server,SRV7,79.1,70.6,17.5,25.4
2025-01-02,Edge Location D,Server,SRV8,67.26,69.9,64.1,29.6
2025-01-02,Edge Location D,Server,SRV9,80.14,76.3,81.4,27.6
2025-01-02,Edge Location D,Server,SRV10,60.0,72.6,38.4,20.6
2025-01-02,Edge Location D,Server,SRV11,77.88,78.9,35.4,27.1
2025-01-02,Edge Location D,Server,SRV12,82.11,77.6,48.9,22.4
2025-01-02,Edge Location D,Server,SRV13,70.48,74.7,71.9,15.4
2025-01-02,Edge Location D,Server,SRV14,82.54,72.0,61.9,25.4
2025-01-02,Edge Location D,Server,SRV15,89.59,72.1,91.3,21.1
2025-01-02,Edge Location D,Server,SRV16,73.26,73.9,33.1,25.1
2025-01-02,Edge Location D,Storage,ST1,47.09,87.8,15.6,22.4
2025-01-02,Edge Location D,Storage,ST2,49.23,67.9,39.5,26.7
2025-01-02,Edge Location D,Storage,ST3,51.17,80.4,89.6,23.7
2025-01-02,Edge Location D,Storage,ST4,44.87,84.0,26.8,20.2
2025-01-02,Edge Location D,Storage,ST5,39.47,92.1,61.7,21.6
2025-01-02,Edge Location D,Storage,ST6,47.0,76.3,82.3,21.6
2025-01-02,Edge Location D,Cooling,C1,146.23,78.3,83.1,23.1
2025-01-02,Edge Location D,Cooling,C2,129.77,60.9,49.0,24.3
2025-01-02,Edge Location D,Cooling,C3,102.77,64.7,82.2,22.7
2025-01-02,Edge Location D,Cooling,C4,165.12,68.1,15.3,30.2
2025-01-03,Data Center A,Router,R1,124.65,78.3,14.4,22.1
2025-01-03,Data Center A,Router,R2,112.37,75.6,74.3,21.1
2025-01-03,Data Center A,Router,R3,80.7,78.5,84.8,22.9
2025-01-03,Data Center A,Router,R4,110.96,82.4,55.8,23.8
2025-01-03,Data Center A,Router,R5,88.01,78.0,79.9,27.9
2025-01-03,Data Center A,Router,R6,94.27,78.6,34.4,19.7
2025-01-03,Data Center A,Router,R7,108.66,84.8,77.8,26.3
2025-01-03,Data Center A,Router,R8,100.09,80.4,77.4,21.5
2025-01-03,Data Center A,Switch,S1,61.38,79.9,33.5,22.4
2025-01-03,Data Center A,Switch,S2,50.34,77.2,47.4,25.3
2025-01-03,Data Center A,Switch,S3,48.54,83.0,78.3,25.6
2025-01-03,Data Center A,Switch,S4,54.61,76.7,85.0,25.3
2025-01-03,Data Center A,Switch,S5,92.33,80.7,54.8,25.7
2025-01-03,Data Center A,Switch,S6,57.22,78.0,82.9,25.8
2025-01-03,Data Center A,Switch,S7,55.94,88.6,36.7,28.0
2025-01-03,Data Center A,Switch,S8,53.59,81.5,80.4,17.3
2025-01-03,Data Center A,Switch,S9,46.38,79.5,80.2,23.3
2025-01-03,Data Center A,Switch,S10,51.56,78.7,73.7,17.9
2025-01-03,Data Center A,Server,SRV1,172.05,82.6,81.5,25.2
2025-01-03,Data Center A,Server,SRV2,144.96,76.9,37.6,21.6
2025-01-03,Data Center A,Server,SRV3,135.35,76.0,82.7,25.8
2025-01-03,Data Center A,Server,SRV4,135.12,81.9,53.6,27.0
2025-01-03,Data Center A,Server,SRV5,123.66,71.6,35.8,25.5
2025-01-03,Data Center A,Server,SRV6,149.41,78.6,66.5,26.0
2025-01-03,Data Center A,Server,SRV7,154.43,73.8,57.6,23.6
2025-01-03,Data Center A,Server,SRV8,124.22,75.7,42.3,27.3
